iter	Logloss
0	0.5729429225
1	0.4833328512
2	0.4218558398
3	0.3646597494
4	0.3351803479
5	0.3084834185
6	0.2843999317
7	0.271660167
8	0.2584326622
9	0.2488813692
10	0.2385152641
11	0.2327509718
12	0.2269896634
13	0.2217880439
14	0.217507109
15	0.2128393701
16	0.2095248305
17	0.2066633611
18	0.2031245978
19	0.199923917
20	0.1963549485
21	0.1937979551
22	0.1921163651
23	0.1903097162
24	0.1881786806
25	0.1861721759
26	0.1840448109
27	0.1820818305
28	0.1798994227
29	0.1786754736
30	0.1763868272
31	0.173612964
32	0.1726871676
33	0.1714429162
34	0.1703907678
35	0.1695047426
36	0.1681733751
37	0.1669915496
38	0.1660267069
39	0.1649528502
40	0.1638935382
41	0.1631316862
42	0.1619464129
43	0.1604561316
44	0.1591085591
45	0.1583794071
46	0.1575624286
47	0.1568323458
48	0.1560332406
49	0.1554138375
50	0.1546145827
51	0.153267986
52	0.1527119507
53	0.151866657
54	0.1513429341
55	0.1508036961
56	0.1495207827
57	0.1487461077
58	0.1481853501
59	0.1473092543
60	0.1464889116
61	0.145772655
62	0.1452872706
63	0.1450684983
64	0.1439833739
65	0.1432206814
66	0.1427842782
67	0.1420080538
68	0.1415598491
69	0.1407372845
70	0.1402093534
71	0.1393119362
72	0.1384587635
73	0.1378389939
74	0.1374236197
75	0.1370215502
76	0.1362926732
77	0.1359357826
78	0.1351944698
79	0.134576631
80	0.1337893522
81	0.1331978446
82	0.1326779751
83	0.132155522
84	0.1310607578
85	0.1302375251
86	0.1291940355
87	0.1283097962
88	0.1280040301
89	0.1271266226
90	0.1264403683
91	0.1253123948
92	0.1249952116
93	0.1242814477
94	0.1238015394
95	0.1232833014
96	0.1228668229
97	0.1222903593
98	0.1217202686
99	0.1211360238
100	0.1206581656
101	0.1197581299
102	0.1192808184
103	0.1188516635
104	0.1180553875
105	0.1174872752
106	0.1171184861
107	0.1167168034
108	0.1163779843
109	0.1156593157
110	0.1145876758
111	0.1141027703
112	0.1137402457
113	0.1133644557
114	0.1130773151
115	0.1126066665
116	0.1124984333
117	0.1120543524
118	0.1118075881
119	0.1115802539
120	0.1111477058
121	0.1109201783
122	0.1102780966
123	0.1100123601
124	0.1092185896
125	0.1086501974
126	0.1078389732
127	0.1074076348
128	0.1069407615
129	0.1064093133
130	0.1062132415
131	0.1058968085
132	0.1055138393
133	0.1051394072
134	0.1047867566
135	0.1044509883
136	0.1040947612
137	0.1037599266
138	0.1031432309
139	0.103112732
140	0.1027762098
141	0.1023790917
142	0.1020414672
143	0.1015817255
144	0.1012598273
145	0.1008899561
146	0.1004981222
147	0.09989677057
148	0.09937113856
149	0.09936854955
150	0.09882118063
151	0.09788040525
152	0.09756948653
153	0.0972848216
154	0.09657879469
155	0.09593725877
156	0.09549049986
157	0.09488984657
158	0.09470673142
159	0.09451523415
160	0.09421119171
161	0.0937849188
162	0.09332571329
163	0.09309405902
164	0.09286892681
165	0.09244041652
166	0.09202532961
167	0.09137547659
168	0.09128611185
169	0.09119568662
170	0.09088974317
171	0.0905510376
172	0.09036828427
173	0.09013867403
174	0.08975598648
175	0.08938854087
176	0.08909137217
177	0.08890774486
178	0.08841882329
179	0.08828272567
180	0.08777883073
181	0.08741276293
182	0.0870192148
183	0.08677255436
184	0.0863467948
185	0.086167942
186	0.08581130054
187	0.08564112986
188	0.08531911458
189	0.08506553554
190	0.08473027686
191	0.08446972834
192	0.08411012246
193	0.08374708462
194	0.08346472205
195	0.08313608129
196	0.08284565859
197	0.08245526033
198	0.08222593202
199	0.08177094754
200	0.08148765688
201	0.08112917596
202	0.08068663024
203	0.08037891914
204	0.08027580455
205	0.08009155758
206	0.07984160028
207	0.07953745658
208	0.07924117115
209	0.07882356949
210	0.07856121283
211	0.07826203189
212	0.07804722822
213	0.07782404002
214	0.07770139168
215	0.07754732625
216	0.07713608039
217	0.07690434898
218	0.07670088452
219	0.07657290365
220	0.07633759941
221	0.07619586092
222	0.07597112941
223	0.07579818426
224	0.07561050387
225	0.07514798595
226	0.07469360873
227	0.07453870374
228	0.07420927964
229	0.07386539977
230	0.07364723514
231	0.07320201579
232	0.07287547354
233	0.07260652919
234	0.07230996079
235	0.07196837866
236	0.07186955047
237	0.07154962094
238	0.07131429627
239	0.07114156675
240	0.07100334204
241	0.0708145128
242	0.0706087931
243	0.07043145512
244	0.07009800251
245	0.07003752661
246	0.06989785718
247	0.06983646165
248	0.06963737421
249	0.06940938948
250	0.06926194105
251	0.06901513957
252	0.06894267356
253	0.06876786955
254	0.06871656878
255	0.06847563746
256	0.06827107609
257	0.06818405274
258	0.06807344956
259	0.06793705179
260	0.06775115735
261	0.06756000403
262	0.067328623
263	0.06709319562
264	0.0668655243
265	0.06681220724
266	0.06666395089
267	0.06631393875
268	0.06613755299
269	0.06585696802
270	0.06581448951
271	0.0654311958
272	0.0652719351
273	0.0651086594
274	0.0648393048
275	0.06463391565
276	0.06444425302
277	0.06431336244
278	0.06418482171
279	0.06404566056
280	0.0638350871
281	0.06377001471
282	0.06372556346
283	0.06349808526
284	0.06345027787
285	0.06328202395
286	0.06317969546
287	0.06314606914
288	0.06295318591
289	0.06262320449
290	0.06233101614
291	0.06209479195
292	0.06197588591
293	0.06172874923
294	0.06143917123
295	0.06132503837
296	0.06120915118
297	0.06112157735
298	0.06076883509
299	0.06055045324
300	0.06045027327
301	0.06029365831
302	0.06011640184
303	0.05998407194
304	0.05988819539
305	0.05970140059
306	0.05954537646
307	0.05950098531
308	0.05931277092
309	0.0591511732
310	0.05904101569
311	0.05891680511
312	0.05881939094
313	0.05860356109
314	0.05842503332
315	0.05832305811
316	0.05825549054
317	0.05805915466
318	0.05792658522
319	0.05789863889
320	0.05767805849
321	0.05747122313
322	0.05738000601
323	0.05721845204
324	0.0570310229
325	0.05685342483
326	0.05670057992
327	0.0564561633
328	0.05614712639
329	0.05601575709
330	0.05591018661
331	0.05585127553
332	0.05574455247
333	0.05571704369
