iter	Logloss
334	0.05544813121
335	0.05533526777
336	0.05529700235
337	0.05507443765
338	0.05503315355
339	0.05488019159
340	0.05479456955
341	0.05465245028
342	0.05445940575
343	0.05430704709
344	0.05412242833
345	0.05402249146
346	0.05390977768
347	0.05376544764
348	0.0537213069
349	0.05369811418
350	0.05362952737
351	0.05355822815
352	0.05343833923
353	0.05325339623
354	0.05323941376
355	0.05313314198
356	0.05307122367
357	0.05297717782
358	0.0528672574
359	0.05274583277
360	0.05265202441
361	0.05253274546
362	0.0524327799
363	0.05230295758
364	0.05217072011
365	0.05202781412
366	0.05176638029
367	0.05165559121
368	0.05160058837
369	0.0515228374
370	0.05141011673
371	0.05133104876
372	0.05118841776
373	0.05103446838
374	0.05099369544
375	0.05089946857
376	0.05086387559
377	0.05068282129
378	0.05060969166
379	0.05043198691
380	0.0502345441
381	0.05013179942
382	0.05000757091
383	0.0499392059
384	0.0497489452
385	0.04964744422
386	0.04937972845
387	0.04927178037
388	0.04915541015
389	0.04904872895
390	0.0490043272
391	0.04892912813
392	0.0488250043
393	0.04871124279
394	0.04860115024
395	0.04850343582
396	0.0483448006
397	0.04827806419
398	0.04813614761
399	0.04804556604
400	0.04802567382
401	0.04798166506
402	0.04790105647
403	0.04779183322
404	0.04772049719
405	0.04757769924
406	0.04752019595
407	0.04750428956
408	0.04740059839
409	0.04735402553
410	0.04721710659
411	0.04708736075
412	0.04705818849
413	0.04701052475
414	0.0468235822
415	0.04673057269
416	0.04661503219
417	0.04654872266
418	0.04646759426
419	0.04640225055
420	0.04629633989
421	0.04626076021
422	0.04618578245
423	0.0460574562
424	0.04583796447
425	0.04569495771
426	0.04564581379
427	0.04554716029
428	0.04544131053
429	0.04534184015
430	0.04534145973
431	0.04527338222
432	0.04523822622
433	0.04511620113
434	0.045025031
435	0.04495608027
436	0.04474167097
437	0.04469400992
438	0.04459703514
439	0.0445610745
440	0.04451500227
441	0.04433889736
442	0.04431763103
443	0.04423381528
444	0.04414625197
445	0.04410168023
446	0.04402105222
447	0.04394658157
448	0.0438118949
449	0.0437312307
450	0.04357524783
451	0.04352121021
452	0.04342740054
453	0.0434119729
454	0.04323327543
455	0.04310409372
456	0.04291200599
457	0.04282197844
458	0.04270050817
459	0.04265054761
460	0.04253031362
461	0.04243273912
462	0.04234289695
463	0.04228320454
464	0.04220348299
465	0.04219403932
466	0.04209837991
467	0.04192448536
468	0.04177978163
469	0.04171598275
470	0.04161417624
471	0.0415451869
472	0.04136189186
473	0.04126545982
474	0.04115936268
475	0.04113973585
476	0.04100305944
477	0.04097300801
478	0.04092494011
479	0.04082330742
480	0.04082331139
481	0.04073557379
482	0.0407008708
483	0.04058408439
484	0.04054284458
485	0.04043184903
486	0.04041922195
487	0.04033871845
488	0.04021722639
489	0.04016004879
490	0.04003922506
491	0.03995831829
492	0.03984258692
493	0.03972174522
494	0.0396600895
495	0.03962860242
496	0.039526697
497	0.03941283578
498	0.03932486619
499	0.0392841535
